use_morphology,task,method,auc,reset_auc,forward_transfer
False,T1,finetune,0.7672413793103449,0.7672413793103449,0.0
False,T1,kl,0.7672413793103449,0.7672413793103449,0.0
False,T3,finetune,0.38965517251655973,0.7540229885742582,-0.36436781605769847
False,T3,kl,0.0,0.7540229885742582,-0.7540229885742582
True,T1,finetune,0.6596059113740921,0.6596059113740921,0.0
True,T1,kl,0.6596059113740921,0.6596059113740921,0.0
True,T3,finetune,0.5663793103448276,0.8689655172413794,-0.3025862068965518
True,T3,kl,0.5724137931034482,0.8689655172413794,-0.2965517241379312
