method,use_morphology,seed,stage,eval_task,success_rate,return_mean,episode_length_mean
kl,False,0,after_T1,T1,1.0,16.41788669459529,23.575
kl,False,0,after_T3,T1,1.0,18.96345811240808,34.575
kl,False,0,after_T3,T3,0.0,0.1802214081561651,64.0
kl,False,1,after_T1,T1,1.0,18.96245811455038,31.1
kl,False,1,after_T3,T1,1.0,19.832309808182238,36.25
kl,False,1,after_T3,T3,0.0,0.20764563506818376,64.0
kl,False,2,after_T1,T1,1.0,15.879712871014661,21.675
kl,False,2,after_T3,T1,1.0,19.84822066735658,35.675
kl,False,2,after_T3,T3,0.0,0.039774461677763606,64.0
kl,False,3,after_T1,T1,1.0,18.419404749972266,28.775
kl,False,3,after_T3,T1,0.7,16.720856931604168,43.9
kl,False,3,after_T3,T3,0.025,5.675217195302361,64.0
kl,False,4,after_T1,T1,1.0,17.4263031918935,25.375
kl,False,4,after_T3,T1,0.95,22.590657706059677,45.325
kl,False,4,after_T3,T3,0.0,0.14532386214064902,64.0
