method,use_morphology,stage,eval_task,success_mean,success_std,return_mean,return_std,seeds
finetune,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
finetune,False,after_T2,T1,1.0,0.0,16.580074479865054,1.3885049986457156,5
finetune,False,after_T2,T2,1.0,0.0,19.22933687521917,1.5594503910117912,5
finetune,False,after_T3,T1,0.4,0.5477225575051661,7.424523637808589,10.414689780412171,5
finetune,False,after_T3,T2,0.4,0.5477225575051661,8.659061125599372,12.128355090024726,5
finetune,False,after_T3,T3,0.465,0.4505552130427524,11.538180321403692,10.713008741424906,5
finetune,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
finetune,True,after_T2,T1,1.0,0.0,16.77706063885439,0.7935872579383153,5
finetune,True,after_T2,T2,1.0,0.0,19.898557101673553,1.2413470981484058,5
finetune,True,after_T3,T1,0.6,0.5477225575051661,16.835403942417646,0.7721107944390196,5
finetune,True,after_T3,T2,0.6,0.5477225575051661,15.703026881225304,5.163095824746188,5
finetune,True,after_T3,T3,0.62,0.521536192416212,19.952574442231953,6.256322412827485,5
kl,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
kl,False,after_T2,T1,1.0,0.0,17.414552970653556,1.371025654863073,5
kl,False,after_T2,T2,1.0,0.0,20.20865516246476,1.6089313958643892,5
kl,False,after_T3,T1,1.0,0.0,17.70126722856542,1.6063745353179388,5
kl,False,after_T3,T2,1.0,0.0,20.55098144909894,1.8560323001195629,5
kl,False,after_T3,T3,0.0,0.0,0.02592258382168362,0.11079319457978382,5
kl,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
kl,True,after_T2,T1,1.0,0.0,16.98253257584629,1.1603875775043235,5
kl,True,after_T2,T2,1.0,0.0,19.991177493476357,1.4847129014030267,5
kl,True,after_T3,T1,1.0,0.0,17.000454781836293,1.226875512179924,5
kl,True,after_T3,T2,1.0,0.0,20.011337820737243,1.5066030464181994,5
kl,True,after_T3,T3,0.93,0.1565247584249853,22.17193677778933,2.0972801264902388,5
multitask,False,after_joint,T1,0.6900000000000001,0.4460241024877467,19.536447191085088,12.229584175766245,5
multitask,False,after_joint,T2,0.8,0.4472135954999579,21.035052095865304,12.7124067455348,5
multitask,False,after_joint,T3,0.06999999999999999,0.15652475842498528,3.4015291310455766,7.948601075250509,5
multitask,True,after_joint,T1,0.75,0.4330127018922193,16.535365183508407,10.041951667710615,5
multitask,True,after_joint,T2,0.725,0.4366062299143245,19.045445179221407,11.495763340745242,5
multitask,True,after_joint,T3,0.915,0.12323757543866237,24.19602354909234,2.5062763577871894,5
reset,False,after_reset_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
reset,False,after_reset_T2,T2,1.0,0.0,19.620806845031563,0.8021571967354573,5
reset,False,after_reset_T3,T3,1.0,0.0,16.68799238438956,1.508405804675357,5
reset,True,after_reset_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
reset,True,after_reset_T2,T2,1.0,0.0,19.66821509602535,1.0673938609294296,5
reset,True,after_reset_T3,T3,1.0,0.0,15.509306203888602,0.33343097642716407,5
single,False,after_T1,T1,1.0,0.0,17.42115312440522,1.2994936983057168,5
single,False,after_T2,T2,1.0,0.0,19.620806845031563,0.8021571967354573,5
single,False,after_T3,T3,1.0,0.0,16.68799238438956,1.508405804675357,5
single,True,after_T1,T1,1.0,0.0,16.95656765099606,1.1283271109007933,5
single,True,after_T2,T2,1.0,0.0,19.66821509602535,1.0673938609294296,5
single,True,after_T3,T3,1.0,0.0,15.509306203888602,0.33343097642716407,5
