use_morphology,task,method,auc,reset_auc,forward_transfer
False,T1,finetune,0.7672413793103449,0.7672413793103449,0.0
False,T1,kl,0.7672413793103449,0.7672413793103449,0.0
False,T2,finetune,1.0,0.7274220033966261,0.2725779966033739
False,T2,kl,1.0,0.7274220033966261,0.2725779966033739
False,T3,finetune,0.10558292300536713,0.8,-0.694417076994633
False,T3,kl,0.0,0.8,-0.8
True,T1,finetune,0.6596059113740921,0.6596059113740921,0.0
True,T1,kl,0.6596059113740921,0.6596059113740921,0.0
True,T2,finetune,1.0,0.6995484402467465,0.30045155975325355
True,T2,kl,0.9908045978381717,0.6995484402467465,0.2912561575914252
True,T3,finetune,0.3413793103448276,0.9103448275862069,-0.5689655172413793
True,T3,kl,0.42253694585685075,0.9103448275862069,-0.4878078817293562
