method,use_morphology,seed,task,global_step,update,episodic_return,episodic_success,policy_loss,value_loss,entropy,approx_kl,clipfrac,distill_kl,distill_std_kl
finetune,True,0,T1,128,1,,,-0.040039584040641785,0.5208997130393982,4.256589889526367,0.012035239487886429,0.23828125,0.0,0.0
finetune,True,0,T1,256,2,8.80575942993164,0.0,0.00888282060623169,0.5521332025527954,4.2589192390441895,0.004808364436030388,0.00390625,0.0,0.0
finetune,True,0,T1,384,3,8.80575942993164,0.0,-0.007230985909700394,0.44844844937324524,4.260313034057617,0.004690397530794144,0.0078125,0.0,0.0
finetune,True,0,T1,512,4,8.80575942993164,0.0,-0.009898744523525238,0.7157515287399292,4.260166645050049,0.005079405382275581,0.00390625,0.0,0.0
finetune,True,0,T1,640,5,8.883072853088379,0.0,-0.020606908947229385,0.5402648448944092,4.259795665740967,0.006779825314879417,0.015625,0.0,0.0
finetune,True,0,T1,768,6,8.883072853088379,0.0,0.002121620811522007,1.005914568901062,4.259509563446045,0.0007954239845275879,0.0,0.0,0.0
finetune,True,0,T1,896,7,9.335433959960938,0.0,0.0008469820022583008,0.5547323822975159,4.259556293487549,0.0009618401527404785,0.0,0.0,0.0
finetune,True,0,T1,1024,8,9.335433959960938,0.0,-0.0043582431972026825,1.0378918647766113,4.259616374969482,0.00031943805515766144,0.0,0.0,0.0
finetune,True,0,T3,1152,1,,,-0.010202005505561829,0.34962940216064453,4.259012699127197,0.03237789124250412,0.1328125,0.0,0.0
finetune,True,0,T3,1280,2,7.002772331237793,0.0,-0.011907875537872314,0.386970579624176,4.258680820465088,0.006847234442830086,0.0078125,0.0,0.0
finetune,True,0,T3,1408,3,7.002772331237793,0.0,-0.019190220162272453,0.27978354692459106,4.259758472442627,0.003972545266151428,0.00390625,0.0,0.0
finetune,True,0,T3,1536,4,7.002772331237793,0.0,-0.013203958049416542,0.3765915334224701,4.260383129119873,0.0019780676811933517,0.0,0.0,0.0
finetune,True,0,T3,1664,5,7.658350944519043,0.0,-0.026792753487825394,0.29798734188079834,4.260838031768799,0.005366647616028786,0.01171875,0.0,0.0
finetune,True,0,T3,1792,6,7.658350944519043,0.0,0.003447148948907852,0.36013492941856384,4.261621475219727,0.0031860601156949997,0.00390625,0.0,0.0
finetune,True,0,T3,1920,7,7.801591396331787,0.0,-0.009592514485120773,0.5618183016777039,4.2620697021484375,0.002209920436143875,0.0,0.0,0.0
finetune,True,0,T3,2048,8,7.801591396331787,0.0,5.5477023124694824e-05,0.40959712862968445,4.262374401092529,0.00037490949034690857,0.0,0.0,0.0
kl,True,0,T1,128,1,,,-0.040039584040641785,0.5208997130393982,4.256589889526367,0.012035239487886429,0.23828125,0.0,0.0
kl,True,0,T1,256,2,8.80575942993164,0.0,0.00888282060623169,0.5521332025527954,4.2589192390441895,0.004808364436030388,0.00390625,0.0,0.0
kl,True,0,T1,384,3,8.80575942993164,0.0,-0.007230985909700394,0.44844844937324524,4.260313034057617,0.004690397530794144,0.0078125,0.0,0.0
kl,True,0,T1,512,4,8.80575942993164,0.0,-0.009898744523525238,0.7157515287399292,4.260166645050049,0.005079405382275581,0.00390625,0.0,0.0
kl,True,0,T1,640,5,8.883072853088379,0.0,-0.020606908947229385,0.5402648448944092,4.259795665740967,0.006779825314879417,0.015625,0.0,0.0
kl,True,0,T1,768,6,8.883072853088379,0.0,0.002121620811522007,1.005914568901062,4.259509563446045,0.0007954239845275879,0.0,0.0,0.0
kl,True,0,T1,896,7,9.335433959960938,0.0,0.0008469820022583008,0.5547323822975159,4.259556293487549,0.0009618401527404785,0.0,0.0,0.0
kl,True,0,T1,1024,8,9.335433959960938,0.0,-0.0043582431972026825,1.0378918647766113,4.259616374969482,0.00031943805515766144,0.0,0.0,0.0
kl,True,0,T3,1152,1,,,-0.01316816359758377,0.34967121481895447,4.259027481079102,0.029874777421355247,0.125,0.01736319810152054,4.76837158203125e-07
kl,True,0,T3,1280,2,7.009860038757324,0.0,-0.01659708470106125,0.3897287845611572,4.258732318878174,0.008403027430176735,0.01171875,0.002362933475524187,1.0132789611816406e-06
kl,True,0,T3,1408,3,7.009860038757324,0.0,-0.021029621362686157,0.28649330139160156,4.259820938110352,0.00772647000849247,0.03515625,0.005015104077756405,2.9802322387695312e-08
kl,True,0,T3,1536,4,7.009860038757324,0.0,-0.012902306392788887,0.41158178448677063,4.260504245758057,0.0014048442244529724,0.0,0.005506981164216995,3.5762786865234375e-07
kl,True,0,T3,1664,5,7.785715579986572,0.0,-0.02193620055913925,0.30569779872894287,4.261030673980713,0.0046353209763765335,0.00390625,0.005295776296406984,1.4901161193847656e-06
kl,True,0,T3,1792,6,7.785715579986572,0.0,0.0034322217106819153,0.37466561794281006,4.261913299560547,0.002441607415676117,0.0,0.006679839454591274,2.7418136596679688e-06
kl,True,0,T3,1920,7,7.921667098999023,0.0,-0.011134292930364609,0.5877463817596436,4.262416362762451,0.0017317309975624084,0.0,0.0063271960243582726,3.5762786865234375e-06
kl,True,0,T3,2048,8,7.921667098999023,0.0,0.0011206567287445068,0.4408339560031891,4.262729644775391,0.0002758186310529709,0.0,0.006362969521433115,4.291534423828125e-06
